headline,text,category,tags,faq,summary
India's rupee hits five-year high,"India's rupee has hit a five-year high after Standard & Poor's (S&P) raised the country's foreign currency rating.  The rupee climbed to 43.305 per US dollar on Thursday, up from a close of 43.41. The currency has gained almost 1% in the past three sessions. S&P, which rates borrowers' creditworthiness, lifted India's rating by one notch to 'BB+'. With Indian assets now seen as less of a gamble, more cash is expected to flow into its markets, buoying the rupee.  ""The upgrade is positive and basically people will use it as an excuse to come back to India,"" said Bhanu Baweja, a strategist at UBS. ""Money has moved out from India in the first two or three weeks of January into other markets like Korea and Thailand and this upgrade should lead to a reversal."" India's foreign currency rating is now one notch below investment grade, which starts at 'BBB-'. The increase has put it on the same level as Romania, Egypt and El Salvador, and one level below Russia.",Just News 🤷,"['S', 'US', 'Poor', 'India', 'Indian', 'Standard', '&', 'B', 'P']","{'question': 'What is the main point of this article?', 'answer': 'people will use it as an excuse to come back to India'}","Summarize: India's rupee has hit a five-year high after Standard & Poor's (S&P) raised the country's foreign currency rating.  The rupee climbed to 43.305 per US dollar on Thursday, up from a close of 43.41. The currency has gained almost 1% in the past three sessions. S&P, which rates borrowers' creditworthiness, lifted India's rating by one notch to 'BB+'. With Indian assets now seen as less of a gamble, more cash is expected to flow into its markets, buoying the rupee.  ""The upgrade is positive and basically people will use it as an excuse to come back to India,"" said Bhanu Baweja, a strategist at UBS. ""Money has moved out from India in the first two or three weeks of January into other markets like Korea and Thailand and this upgrade should lead to a reversal."" India's foreign currency rating is now one notch below investment grade, which starts at 'BBB-'. The increase has put it on the same level as Romania, Egypt and El Salvador, and one level below Russia. lost nearly 17 percent since early 2016.

India's currency has been falling at a record pace. It is now down more than 1,500 basis points since February this year.

Investment in the country's banking sector has been severely hurt as its economy is facing severe problems such as high unemployment and a deep recession.

The government is looking at raising the cost of banking services, which have been on a downward trajectory.

""The government has decided to take up the price of oil to tackle the financial crisis. This will reduce the debt burden and also reduce the cost of credit card debt. The government will also be looking at taking up the provision of medical and dental insurance.

""In addition, we will be looking at some other measures. This is a direct result of the recent measures taken by the Reserve Bank of India (RBI),"" Modi said in a speech here.

In his address, the Prime Minister also said there is ""some optimism"" that the country will meet its goal of economic growth in 2017.

""In 2016, the country was in the middle of the recession, but now it is recovering and needs to be able to boost growth,"" Modi said.

The Reserve Bank of India (R"
Gazprom 'in $36m back-tax claim',"The nuclear unit of Russian energy giant Gazprom is reportedly facing a 1bn rouble ($35.7m; £19.1m) back-tax claim for the 2001-2003 period.  Vedomosti newspaper reported that Russian authorities made the demand at the end of last year. The paper added that most of the taxes claimed are linked to the company's export activity. Gazprom, the biggest gas company in the world, took over nuclear fuel giant Atomstroieksport in October 2004. The main project of Atomstroieksport is the building of a nuclear plant in Iran, which has been a source of tension between Russia and the US.  Gazprom is one of the key players in the complex Russian energy market, where the government of Vladimir Putin has made moves to regain state influence over the sector. Gazprom is set to merge with state oil firm Rosneft, the company that eventually acquired Yuganskneftegas, the main unit of embattled oil giant Yukos. Claims for back-taxes was a tool used against Yukos, and led to the enforced sale Yuganskneftegas. Some analysts fear the Kremlin will continue to use these sort of moves to boost the efforts of the state to regain control over strategically important sectors such as oil.",Just News 🤷,"['##omo', '##iek', '##tro', '##az', '##rom', 'G', '##sport', '##p', '##oms', '##i', 'V', 'Russian', '##st', 'At', '##ed']","{'question': 'What is the main point of this article?', 'answer': ""most of the taxes claimed are linked to the company's export activity""}","Summarize: The nuclear unit of Russian energy giant Gazprom is reportedly facing a 1bn rouble ($35.7m; £19.1m) back-tax claim for the 2001-2003 period.  Vedomosti newspaper reported that Russian authorities made the demand at the end of last year. The paper added that most of the taxes claimed are linked to the company's export activity. Gazprom, the biggest gas company in the world, took over nuclear fuel giant Atomstroieksport in October 2004. The main project of Atomstroieksport is the building of a nuclear plant in Iran, which has been a source of tension between Russia and the US.  Gazprom is one of the key players in the complex Russian energy market, where the government of Vladimir Putin has made moves to regain state influence over the sector. Gazprom is set to merge with state oil firm Rosneft, the company that eventually acquired Yuganskneftegas, the main unit of embattled oil giant Yukos. Claims for back-taxes was a tool used against Yukos, and led to the enforced sale Yuganskneftegas. Some analysts fear the of the year.  (Emran Noorov/Getty Images)

(Via The Economist)

In the meantime, the United States is under pressure to ease sanctions against Russia amid a Kremlin crackdown on dissent and dissenters, and President Barack Obama has called on the Russians to stop inciting violence in the country.

[Russian President Vladimir Putin will not take unilateral action against Syria without the help of United States]

The ""Russian threat"" in this case comes from an article on the Russian state-run media that was published on the internet in June 2003. The article, ""Moscow's Threat to Syria: The Threat to the Global System,"" was written by a journalist who had traveled to Syria from London. It was later leaked to the Associated Press, which published it in April 2003. The article was later published in Russia on the BBC's Sunday World Service. 

The article, titled ""A Russia-inspired 'terrorist plot' in Syria,"" featured a photograph of a man carrying a weapon and shouting: ""There is no place for you, the Syrian people!""

The article was published by the BBC, which is a news channel, and ran on an English-language news channel. 

""If we can't"
Businesses fail to plan for HIV,"Companies fail to draw up plans to cope with HIV/Aids until it affects 20% of people in a country, new research says.  The finding comes in a report published on Thursday by the World Economic Forum, Harvard and the UN aids agency. ""Too few companies are responding proactively to the social and business threats,"" said Dr Kate Taylor, head of the WEF's global Health Initiative. Nearly 9,000 business leaders in 104 countries were surveyed for Business and HIV/AIDS: Commitment and Action?  Dr Taylor described the level of action taken by businesses as revealed by the report as ""too little, too late"". The issue will be highlighted to business and world leaders at the World Economic Forum, which meets in Davos, Switzerland, next week. The WEF report shows that despite the fact that 14,000 people contract HIV/Aids every day, concern among businesses has dropped by 23% in the last 12 months. Most (71%) have no policies in place to address the disease. Nor could over 65% of the business leaders surveyed say or estimate the prevalence of HIV among their staff. The UN programme tackling Aids, UNAIDS, pointed out that having a clear strategy for dealing with HIV/Aids was a good investment as well as being socially responsible.  One company that does have a plan is Anglo-American, the international mining company, which estimates an HIV prevalence of 24% among its 130,000-strong Southern African workforce.  Over the last two years the company has implemented extensive voluntary counselling and testing for HIV infection, coupled with anti-retroviral therapy for employees progressing to Aids. Over 90% of the 2,200 employees who have accessed and remained on treatment are well and have returned to normal work. ""Effective action on HIV/Aids is synonymous with good business management and leads to more profitable and sustainable operations,"" said Brian Brink, senior vice-president, health, at Anglo-American.  ""Companies should encourage all workers to know their HIV status, making it as routine as monitoring blood pressure or cholesterol,"" he said. ""Providing access to treatment is a critical part of this."" Across sub-Saharan Africa, even in countries with an HIV prevalence of 10-19%, only around 7% of companies have formal HIV/Aids policies in place, according to the report. The gap is even wider in China, Ethiopia, India, Nigeria and Russia, the so-called ""next wave"" countries, which are predicted to experience the highest numbers of new HIV/Aids cases worldwide by 2010. The report adds ""an important building block to our understanding of how the business community is experiencing the HIV/Aids epidemic and to whether and how it is reacting,"" said David Bloom, professor of economics and demography at the Harvard School of Public Health.  The WEF report concludes that businesses need to understand their exposure to HIV/Aids risks and come up with good local practices to manage them. A key priority, in both high and low-prevalence settings, said the WEF is to establish a policy based on non-discrimination and confidentiality.",Bad News 👎,"['W', 'UN', 'Economic', '##s', 'Harvard', 'Forum', 'HIV', '##EF', 'World', 'Kate', 'Taylor']","{'question': 'What is the main point of this article?', 'answer': 'Too few companies are responding proactively to the social and business threats'}","Summarize: Companies fail to draw up plans to cope with HIV/Aids until it affects 20% of people in a country, new research says.  The finding comes in a report published on Thursday by the World Economic Forum, Harvard and the UN aids agency. ""Too few companies are responding proactively to the social and business threats,"" said Dr Kate Taylor, head of the WEF's global Health Initiative. Nearly 9,000 business leaders in 104 countries were surveyed for Business and HIV/AIDS: Commitment and Action?  Dr Taylor described the level of action taken by businesses as revealed by the report as ""too little, too late"". The issue will be highlighted to business and world leaders at the World Economic Forum, which meets in Davos, Switzerland, next week. The WEF report shows that despite the fact that 14,000 people contract HIV/Aids every day, concern among businesses has dropped by 23% in the last 12 months. Most (71%) have no policies in place to address the disease. Nor could over 65% of the business leaders surveyed say or estima building their plans around the world to respond adequately to HIV/Aids or to respond effectively,"" said the report's co-author John F. Kaplan, a senior research fellow at Harvard's Kennedy School of Government. ""Not enough is being done in this area."" The report also found that the HIV/Aids epidemic is now spreading in developed countries, with half of the estimated 600 million people in developing countries living with HIV.

The World Health Organization's Interagency Coordination Group (IGG) has made the case that the US should be given more resources to address the problem. The group's report, an analysis of nearly 1,600 health and disease data sets, is the first to identify a national strategy to counter the epidemic, its most comprehensive yet. ""We have a whole range of options to take to counter this epidemic,"" said Kaplan, citing the need to ""take action against the 'disease' in developing countries, the 'disease' in cities that are not doing much to deal with it, and the 'disease' in rural areas.""

The report also found that the US needs to prioritize the prevention of HIV/Aids and other sexually transmitted infections (STIs) in its health systems and to ""recogn"
Saudi ministry to employ women,"Women will be employed in Saudi Arabia's foreign ministry for the first time this year, Foreign Minister Prince Saud Al-Faisal has been reported as saying.  The move comes as the conservative country inches open the door to working women. Last year, Crown Prince Abdullah, the de-facto ruler, told government departments to put plans in place for employing women. But progress has been slow, reports from the country say.  Earlier this week, the local Arab News said Labour Minister Ghazi al-Gosaibi had ""caused uproar"" when he said his ministry was having difficulty hiring women because they demanded segregated offices. The newspaper said many Saudi women found his explanation ""a pitiful excuse for not employing women"". Women now make up more than half of all graduates from Saudi universities but only 5% of the workforce. ""Our educational reforms have created a new generation of highly-educated and professionally trained Saudi women who are acquiring their rightful position in Saudi society,"" Arab News quoted Prince Saud as saying. ""I am proud to mention here that this year we shall have women working in the Ministry of Foreign Affairs for the first time.""",Just News 🤷,"['Sa', 'F', '##zi', 'G', 'Go', 'Prince', 'Al', 'Arab', 'News', 'Abdullah', '##al', '##ais', 'Saudi', '-', 'Arabia', '##ud', '##ha', '##sai', 'al']","{'question': 'What is the main point of this article?', 'answer': 'progress has been slow'}","Summarize: Women will be employed in Saudi Arabia's foreign ministry for the first time this year, Foreign Minister Prince Saud Al-Faisal has been reported as saying.  The move comes as the conservative country inches open the door to working women. Last year, Crown Prince Abdullah, the de-facto ruler, told government departments to put plans in place for employing women. But progress has been slow, reports from the country say.  Earlier this week, the local Arab News said Labour Minister Ghazi al-Gosaibi had ""caused uproar"" when he said his ministry was having difficulty hiring women because they demanded segregated offices. The newspaper said many Saudi women found his explanation ""a pitiful excuse for not employing women"". Women now make up more than half of all graduates from Saudi universities but only 5% of the workforce. ""Our educational reforms have created a new generation of highly-educated and professionally trained Saudi women who are acquiring their rightful position in Saudi society,"" Arab News quoted Prin country's first democratically elected ruler, was asked to step down as head of his royal family.  Saudi Arabia's cabinet has long been hostile to women and has been unwilling to accept a new president who is female.  In 2007, a parliamentary committee appointed to investigate the situation issued a report on the subject saying the kingdom ""may be tempted to ban women from the kingdom's foreign ministry"".  The committee wrote that ""women's rights do not constitute a right and should not be restricted to the domestic sphere, such as the domestic sphere of business, or foreign affairs and security"".   Saudi Arabia is the only Muslim country where women are not allowed to work. 

The report recommended the government ban women from serving in the military and ""consider whether it is necessary or desirable to temporarily ban women from the military or to allow women to receive special training as part of the military"".  On the question of women's participation in the military, the report noted that ""the military is the only place where women are expected to contribute to the security of the kingdom.""  ""It is not possible to guarantee women's participation in the military because women may be killed or injured.  Women in combat operations in the military are generally women, though some women may not even participate in"
UK economy ends year with spurt,"The UK economy grew by an estimated 3.1% in 2004 after accelerating in the last quarter of the year, says the Office for National Statistics (ONS).  The figure is in line with Treasury and Bank of England forecasts. The ONS says gross domestic product (GDP) rose by a strong 0.7% in the three months to 31 December, compared with 0.5% in the previous quarter. The rise came despite a further decline in production output and the worst Christmas for retailers in decades.  The annual figure marked out the best year since 2000, and was also well ahead of the 2.2% recorded in 2003. Growth in the final three months of 2004 marked the 50th consecutive quarter of expansion. ""On the basis of the latest information the UK has entered 2005 on course to continue its record period of growth,"" said Paul Boateng, chief secretary to the Treasury in a statement.  The ONS said the services sector, which accounts for nearly three-quarters of the UK economy, grew 1.0% in the quarter. The strong services figure was welcomed by analysts, given lacklustre retail sales in December and across the Christmas holiday period. ""The fact that other services components are doing so well suggests to me that we are back to trend (growth) and I am not particularly concerned about any further slowdown,"" said Ross Walker, UK economist at RBS Financial Markets.  However, output in the production sector contracted 0.5%, the second quarterly fall in row and a state of affairs that some economists classify as a recession. However the ONS would not comment on the definition of a recession and whether the manufacturing recovery was over. But Steve Radley, chief economist at the manufacturers' organisation EEF, said: ""These figures remain at odds with what is actually happening on the ground. ""Whilst companies may be experiencing tougher conditions this year, 'recession' is not a word that manufacturers would currently recognise."" The ONS said a sharp fall in mining and quarrying, which was driven by oil and gas extraction, was primarily responsible for the overall contraction in manufacturing production figures.  Simon Rubinsohn, chief economist at Gerrard, said: ""This outturn (of 0.7%) was well ahead of the market expectations and cast doubt on the scare stories doing the rounds surrounding the current state of the UK economy."" And he said the GDP figures may help to ""push interest rate expectations a little higher along the curve"". ""The suggestion from the money markets is that the next move is now more likely to be in an upward rather than a downward direction. This is consistent with our own thinking,"" said Mr Rubinsohn. The Bank of England's nine-strong rate-setting committee voted unanimously earlier this month to keep interest rates steady at 4.75%, minutes of the meeting showed on Wednesday.",Just News 🤷,"['National', '##S', 'of', 'UK', 'for', 'Statistics', 'ON', 'Office', 'Bank', 'Treasury', 'England']","{'question': 'What is the main point of this article?', 'answer': 'worst Christmas for retailers in decades'}","Summarize: The UK economy grew by an estimated 3.1% in 2004 after accelerating in the last quarter of the year, says the Office for National Statistics (ONS).  The figure is in line with Treasury and Bank of England forecasts. The ONS says gross domestic product (GDP) rose by a strong 0.7% in the three months to 31 December, compared with 0.5% in the previous quarter. The rise came despite a further decline in production output and the worst Christmas for retailers in decades.  The annual figure marked out the best year since 2000, and was also well ahead of the 2.2% recorded in 2003. Growth in the final three months of 2004 marked the 50th consecutive quarter of expansion. ""On the basis of the latest information the UK has entered 2005 on course to continue its record period of growth,"" said Paul Boateng, chief secretary to the Treasury in a statement.  The ONS said the services sector, which accounts for nearly three-quarters of the UK economy, grew 1.0% in the quarter. The strong services figure was welcomed by analy) was 2.4% in April, down from 2.5% in April 2015. The figure is based on data from the Bureau of Statistics, which is used to calculate GDP and inflation.

The OECD says that the ONS' quarterly data show growth in GDP of 0.2% in the last three months of 2016. However, the IMF says there was a significant increase in growth of 0.4% in the year to April due to the recession. On the other hand, the ONS says growth in GDP was just 0.1% in April, down from 0.2% in April 2014.

The ONS says that when the ONS began data collection in 2008, it began collecting data on the number of households aged 25 and over who have incomes of up to £100,000. The ONS will now collect data on what this means so that the share of the population who have incomes above £100,000 will be taken into account.

In addition, the ONS said that the number of people who have incomes of £100,000 and above was up more than half compared to the same period a year ago.

The ONS says that the number of people who have incomes more than £200"
US economy still growing says Fed,"Most areas of the US saw their economy continue to expand in December and early January, the US Federal Reserve said in its latest Beige Book report.  Of the 12 US regions it identifies for the study, 11 showed stronger economic growth, with only the Cleveland area falling behind with a ""mixed"" rating. Consumer spending was higher in December than November, and festive sales were also up on 2003. The employment picture also improved, the Fed said.  ""Labour markets firmed in a number of districts, but wage pressures generally remained modest,"" the Beige Book said. ""Several districts reported higher prices for building materials and manufacturing inputs, but most reported steady or only slightly higher overall price levels."" The report added that residential real estate activity remained strong and that commercial real estate activity strengthened in most districts. ""Office leasing was especially brisk in Washington DC, and New York City, two of the nation's strongest commercial markets,"" the Fed said.",Just News 🤷,"['##ige', 'US', 'Be', 'Reserve', 'Book', 'Federal', 'Fed', 'Cleveland']","{'question': 'What is the main point of this article?', 'answer': 'residential real estate activity remained strong'}","Summarize: Most areas of the US saw their economy continue to expand in December and early January, the US Federal Reserve said in its latest Beige Book report.  Of the 12 US regions it identifies for the study, 11 showed stronger economic growth, with only the Cleveland area falling behind with a ""mixed"" rating. Consumer spending was higher in December than November, and festive sales were also up on 2003. The employment picture also improved, the Fed said.  ""Labour markets firmed in a number of districts, but wage pressures generally remained modest,"" the Beige Book said. ""Several districts reported higher prices for building materials and manufacturing inputs, but most reported steady or only slightly higher overall price levels."" The report added that residential real estate activity remained strong and that commercial real estate activity strengthened in most districts. ""Office leasing was especially brisk in Washington DC, and New York City, two of the nation's strongest commercial markets,"" the Fed said. a 3.9% decline. 

In the Northeast, the largest number of states saw their gross domestic product grow by 1.1% or more, while in the West, the largest number of states saw their gross domestic product decline by 2.5%.

In the Northeast, the largest number of states saw their gross domestic product decline by 2.5% or more, while in the West, the largest number of states saw their gross domestic product decline by 2.5%.

The US economy grew at an annual pace of 0.1% in the third quarter, its best performance since the second half of 2007, according to the US Bureau of Labor Statistics. 

The slowdown in the US employment market was the second biggest single factor behind the slowdown, the report said.

""The economy is on track to grow at a 4.1% annualized pace in the third quarter, with 2.2 million Americans expected to work in January, and 2.2 million expected to work in February, the report said,"" it said.

The US economy grew at an annual pace of 0.1% in the third quarter, its best performance since the second half of 2007, according to the US Bureau of Labor Statistics."
Boeing secures giant Japan order,"Boeing is to supply Japan Airlines with up to 50 of its forthcoming 7E7 planes in a deal that could be worth as much as $6bn (£3.1bn) for the US giant.  Japan Airlines has made a firm order for 30 of the aircraft, at $120m each, with the option to buy 20 more. Asia's biggest airline joins Japanese rival All Nippon as one of the first carriers to order the mid-size 7E7, which Boeing says is super-economical. Airbus this week announced the first pre-sale of its 7E7 rival - the A350. Boeing's great European competitor is to sell 10 of its forthcoming A350 to Spanish carrier Air Europe, which has the option to buy two more in a deal that could be worth more than $1.8bn. Both the 7E7 and the A350 are being designed to be as fuel-efficient as possible in the 200- to 300-seat sector, and each will be available in both short and long range versions.  Japan Airlines said it had looked at both aircraft before choosing the 7E7, also known as the Dreamliner. ""We chose the 7E7 after carefully considering both it and Airbus' aircraft,"" said a Japan Airlines spokesman. ""The 7E7 fits better for what we needed and it could be delivered when we hoped to get it."" Boeing continues to enjoy a dominance over Airbus in Japan, and Japanese companies are taking key roles in building the 7E7. The first 7E7s will be delivered to Japan Airlines in April 2008. Boeing has set itself a target of getting 200 firm commitments for the 7E7 by the end of this year, and has orders for 56 so far. Airbus hopes to have 50 orders in place for the A350 by mid-2005.",Just News 🤷,"['European', 'Japan', 'US', 'Japanese', '##35', '7', 'Airlines', 'Boeing', '##0', 'Airbus', 'A', 'Asia', 'All', 'Nippon']","{'question': 'What is the main point of this article?', 'answer': 'super-economical'}","Summarize: Boeing is to supply Japan Airlines with up to 50 of its forthcoming 7E7 planes in a deal that could be worth as much as $6bn (£3.1bn) for the US giant.  Japan Airlines has made a firm order for 30 of the aircraft, at $120m each, with the option to buy 20 more. Asia's biggest airline joins Japanese rival All Nippon as one of the first carriers to order the mid-size 7E7, which Boeing says is super-economical. Airbus this week announced the first pre-sale of its 7E7 rival - the A350. Boeing's great European competitor is to sell 10 of its forthcoming A350 to Spanish carrier Air Europe, which has the option to buy two more in a deal that could be worth more than $1.8bn. Both the 7E7 and the A350 are being designed to be as fuel-efficient as possible in the 200- to 300-seat sector, and each will be available in both short and long range versions.  Japan Airlines said it had looked at both aircraft before choosing the 7E7, also known as the Dreamliner. ""We chose the 7E7 after carefully considering both it and Airbu a cost of $1.4bn. Japan's defence ministry has also expressed its displeasure over the deal, saying it is a ""disgrace"".

The deal will be worth $3.8bn, following the completion of a $2.4bn tender for the first aircraft.

The deal comes as Japan prepares to spend $1.4bn on fighter jets and fighter-bombers over the next few years.

In December, the US defence secretary, Ashton Carter, said Japan would need to spend $2.9bn if it wanted to meet its defence commitments - nearly double the $1.3bn it was spending on the first aircraft.

""This is a step in the right direction for Japan's defence commitment,"" Carter told US senators in March.

""We are committed to increasing our defence spending over the next five years. This year our defence commitments for 2014-15 will be $4.9bn. That compares to $8bn in fiscal 2016-17.

""And there is a long way to go.""

The US defence secretary, Ashton Carter, said the defence spending would increase by $1.3bn over five years, compared to a current $3.6bn"
French consumer spending rising,"French consumers increased their spending by 1.5% in January, a figure which bodes well for the country's economic growth, figures revealed.  The National Statistic Institute (INSEE) added that consumer spending in January rose 3.8% on a year-on-year basis. Rising sales of household equipment were behind the increase. The INSEE also said that French consumer prices fell 0.6% in January, but were up 1.6% on an annual basis.  Despite the general increase in spending in January, French households bought fewer cars in January. According to the INSEE, car sales fell 2.8% in January, following a fall of 0.6% in December. But on a year-on-year basis, the sector still saw a sales increase of 6.5%. Consumer spending fuelled France's economic growth in the last quarter of 2004 and analysts expect that it will continue to support the economy. ""It's a growth that will remain fragile and vulnerable to risks like a strong rise in long-term interest rates, tension in the oil price,"" Emmanuel Ferry, from Exane BNP Paribas told Reuters news agency.  Meanwhile in Italy, consumer confidence rose to its highest level since October 2004. Economic research group ISAE has said that Italian consumer confidence rose to 104.4 from 103.3, despite a slight deterioration in short-term sentiment.",Just News 🤷,"['French', 'St', 'IN', '##ati', '##SE', 'Institute', 'National', '##stic', '##E']","{'question': 'What is the main point of this article?', 'answer': ""bodes well for the country's economic growth""}","Summarize: French consumers increased their spending by 1.5% in January, a figure which bodes well for the country's economic growth, figures revealed.  The National Statistic Institute (INSEE) added that consumer spending in January rose 3.8% on a year-on-year basis. Rising sales of household equipment were behind the increase. The INSEE also said that French consumer prices fell 0.6% in January, but were up 1.6% on an annual basis.  Despite the general increase in spending in January, French households bought fewer cars in January. According to the INSEE, car sales fell 2.8% in January, following a fall of 0.6% in December. But on a year-on-year basis, the sector still saw a sales increase of 6.5%. Consumer spending fuelled France's economic growth in the last quarter of 2004 and analysts expect that it will continue to support the economy. ""It's a growth that will remain fragile and vulnerable to risks like a strong rise in long-term interest rates, tension in the oil price,"" Emmanuel Ferry, from Exane BNP Paribas toyear basis, a gain of only 1.5% in the previous month. 

This is the first year in which there has been no increase in consumer spending in the country.  In January 2011, the National Statistics Office found that consumer spending in France increased 2.8% and consumer spending decreased 2% in the previous year. 

Consumer spending in the country went up 3.8% in the month of January 2011, according to the INSEE report.  This has been the first time since 1981 that a rise in consumer spending has been noted. 

Leveraging consumer spending to increase investment in infrastructure, manufacturing and services, the INSEE report found that the price of crude oil rose by 1.2% in January 2011, while the price of oil rose by 1.3% in January 2010. 

The cost of food, fuel and medicines rose by 2.8% in January 2011, while the price of natural gas rose by 1.5% and the cost of electricity rose by 1.9% in January 2010. 

The prices of electricity increased by 1.2% in January 2011, while prices of water rose by 1.3% in January 2010. 

Food prices rose by"
Golden rule 'intact' says ex-aide,"Chancellor Gordon Brown will meet his golden economic rule ""with a margin to spare"", according to his former chief economic adviser.  Formerly one of Mr Brown's closest Treasury aides, Ed Balls hinted at a Budget giveaway on 16 March. He said he hoped more would be done to build on current tax credit rules. Any rate rise ahead of an expected May election would not affect the Labour Party's chances of winning, he added. Last July, Mr Balls won the right to step down from his Treasury position and run for parliament, defending the Labour stronghold of Normanton in West Yorkshire.  Mr Balls rejected the allegation that Mr Brown had been sidelined in the election campaign, saying he was playing a ""different"" role to the one he played in the last two elections. He rejected speculation that Mr Brown was considering becoming Foreign Secretary, saying his recent travels had been linked to efforts to boost international development. Gordon Brown's decision to announce the date of the Budget while on a trip to China was a ""sensible thing to do"", since he was talking about skills and investment at the time, Mr Balls told the BBC. Commenting on speculation of an interest rate rise, he said it was not within the remit of the Bank of England's Monetary Policy Committee (MPC) to factor a potential election into its rate decisions. Expectations of a rate rise have gathered pace after figures showed that house prices are still rising. Consumer borrowing rose at a near-record pace in January. ""I don't believe it would be a big election issue in Britain or a problem for Labour,"" Mr Balls said. Prime Minister Tony Blair has yet to name the date of the election, but most pundits are betting on 5 May as the likely day.",Just News 🤷,"['Brown', 'Labour', 'Budget', 'Ed', '##s', 'Ball', 'Treasury', 'Party', 'Gordon']","{'question': 'What is the main point of this article?', 'answer': 'Chancellor Gordon Brown will meet his golden economic rule'}","Summarize: Chancellor Gordon Brown will meet his golden economic rule ""with a margin to spare"", according to his former chief economic adviser.  Formerly one of Mr Brown's closest Treasury aides, Ed Balls hinted at a Budget giveaway on 16 March. He said he hoped more would be done to build on current tax credit rules. Any rate rise ahead of an expected May election would not affect the Labour Party's chances of winning, he added. Last July, Mr Balls won the right to step down from his Treasury position and run for parliament, defending the Labour stronghold of Normanton in West Yorkshire.  Mr Balls rejected the allegation that Mr Brown had been sidelined in the election campaign, saying he was playing a ""different"" role to the one he played in the last two elections. He rejected speculation that Mr Brown was considering becoming Foreign Secretary, saying his recent travels had been linked to efforts to boost international development. Gordon Brown's decision to announce the date of the Budget while on a trip to China wa persuade Mr Brown to do away with the idea of a further round of tax breaks.

Mr Brown also said he believed the Chancellor was committed to making the UK's economy more competitive and he asked the Chancellor to support a ""fair, fair, and just"" tax system that would boost the pay of businesses.

The Chancellor has already been reluctant to rule out a tax cut for the wealthy. He said in March that he would set out his tax plans for autumn next year, but would not consider introducing a new tax when he took office in January.

Mr Balls said: ""It's clear that this Chancellor would like to see much more investment in the UK economy. But he said he wanted to see more investment in the UK economy. The Chancellor has been clear on this. He has said that he is willing to allow greater investment in the UK economy.""

He added: ""He should be able to deliver more jobs and more investment into the UK economy. The Chancellor will have to act.""

Mrs May's budget is due to be presented to the Treasury on Friday.

It will be the first time the chancellor has confirmed that he is willing to do away with the ""back-to-work"" tax cut for the rich."
UK economy facing 'major risks',"The UK manufacturing sector will continue to face ""serious challenges"" over the next two years, the British Chamber of Commerce (BCC) has said.  The group's quarterly survey of companies found exports had picked up in the last three months of 2004 to their best levels in eight years. The rise came despite exchange rates being cited as a major concern. However, the BCC found the whole UK economy still faced ""major risks"" and warned that growth is set to slow. It recently forecast economic growth will slow from more than 3% in 2004 to a little below 2.5% in both 2005 and 2006.  Manufacturers' domestic sales growth fell back slightly in the quarter, the survey of 5,196 firms found. Employment in manufacturing also fell and job expectations were at their lowest level for a year.  ""Despite some positive news for the export sector, there are worrying signs for manufacturing,"" the BCC said. ""These results reinforce our concern over the sector's persistent inability to sustain recovery."" The outlook for the service sector was ""uncertain"" despite an increase in exports and orders over the quarter, the BCC noted.  The BCC found confidence increased in the quarter across both the manufacturing and service sectors although overall it failed to reach the levels at the start of 2004. The reduced threat of interest rate increases had contributed to improved confidence, it said. The Bank of England raised interest rates five times between November 2003 and August last year. But rates have been kept on hold since then amid signs of falling consumer confidence and a slowdown in output. ""The pressure on costs and margins, the relentless increase in regulations, and the threat of higher taxes remain serious problems,"" BCC director general David Frost said. ""While consumer spending is set to decelerate significantly over the next 12-18 months, it is unlikely that investment and exports will rise sufficiently strongly to pick up the slack.""",Just News 🤷,"['Commerce', 'of', 'UK', 'BC', '##C', 'Chamber', 'British']","{'question': 'What is the main point of this article?', 'answer': 'growth is set to slow'}","Summarize: The UK manufacturing sector will continue to face ""serious challenges"" over the next two years, the British Chamber of Commerce (BCC) has said.  The group's quarterly survey of companies found exports had picked up in the last three months of 2004 to their best levels in eight years. The rise came despite exchange rates being cited as a major concern. However, the BCC found the whole UK economy still faced ""major risks"" and warned that growth is set to slow. It recently forecast economic growth will slow from more than 3% in 2004 to a little below 2.5% in both 2005 and 2006.  Manufacturers' domestic sales growth fell back slightly in the quarter, the survey of 5,196 firms found. Employment in manufacturing also fell and job expectations were at their lowest level for a year.  ""Despite some positive news for the export sector, there are worrying signs for manufacturing,"" the BCC said. ""These results reinforce our concern over the sector's persistent inability to sustain recovery."" The outlook for the service s years, with more than two-thirds of them experiencing ""serious, persistent"" economic uncertainty. ""In light of this, we are forecasting that export trends will continue to show signs of slowing in the second half of this year as growth continues to slow,"" the BCA said in its annual report.  However, even after a strong start to the year, there was still a strong risk that the UK could see a slowdown in its exports.

""The situation is particularly acute in the UK where the cost of living has continued to move up, where consumer confidence has continued to decline and where consumer confidence has declined, and where the government's commitment to fiscal stimulus and deficit reduction is still very far from being achieved, as expected in part because of the uncertainty around the UK's role in the global financial system,"" the BCA said. ""This is a risk that we are taking very seriously. ""We will continue to monitor the situation closely, but expect that this would be the first time that we will have an opportunity to assess the situation and find out which of our major exports would be more challenging for the UK in the second half of the year.""

Read more: Government to release further fiscal stimulus package

The BCA said that while the UK's"
